+2025-09-04 23:31:07,157 [0.0021719932556152344] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-04 23:31:09,350 [2.195054769515991] PIL.Image DEBUG: Importing SgiImagePlugin
+2025-09-04 23:31:09,350 [2.195054769515991] PIL.Image DEBUG: Importing SpiderImagePlugin
+2025-09-04 23:31:09,350 [2.195054769515991] PIL.Image DEBUG: Importing SunImagePlugin
+2025-09-04 23:31:09,351 [2.196054697036743] PIL.Image DEBUG: Importing TgaImagePlugin
+2025-09-04 23:31:09,351 [2.196054697036743] PIL.Image DEBUG: Importing TiffImagePlugin
+2025-09-04 23:31:09,351 [2.196054697036743] PIL.Image DEBUG: Importing WebPImagePlugin
+2025-09-04 23:31:09,353 [2.1988277435302734] PIL.Image DEBUG: Importing WmfImagePlugin
+2025-09-04 23:31:09,354 [2.199199676513672] PIL.Image DEBUG: Importing XbmImagePlugin
+2025-09-04 23:31:09,355 [2.200333595275879] PIL.Image DEBUG: Importing XpmImagePlugin
+2025-09-04 23:31:09,356 [2.201329469680786] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2025-09-04 23:31:09,500 [2.3452014923095703] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:10,503 [3.348834276199341] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:10,504 [3.349555253982544] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:10,692 [3.537147283554077] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:11,693 [4.538703441619873] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:11,693 [4.538703441619873] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:11,908 [4.753919839859009] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:12,923 [5.768651962280273] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:12,924 [5.7696616649627686] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:13,128 [5.973935842514038] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:14,134 [6.9792375564575195] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:14,134 [6.9792375564575195] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:14,351 [7.196201324462891] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:14,504 [7.349906921386719] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-04 23:31:14,542 [7.387461185455322] keyring.backend DEBUG: Loading KWallet
+2025-09-04 23:31:14,542 [7.387461185455322] keyring.backend DEBUG: Loading SecretService
+2025-09-04 23:31:14,542 [7.387461185455322] keyring.backend DEBUG: Loading Windows
+2025-09-04 23:31:14,558 [7.403322458267212] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2025-09-04 23:31:14,613 [7.457968711853027] keyring.backend DEBUG: Loading chainer
+2025-09-04 23:31:14,613 [7.457968711853027] keyring.backend DEBUG: Loading libsecret
+2025-09-04 23:31:14,613 [7.457968711853027] keyring.backend DEBUG: Loading macOS
+2025-09-04 23:31:14,613 [7.457968711853027] keyring.backend DEBUG: Loading Gnome
+2025-09-04 23:31:14,620 [7.465848922729492] keyring.backend DEBUG: Loading Google
+2025-09-04 23:31:14,620 [7.465848922729492] keyring.backend DEBUG: Loading Windows (alt)
+2025-09-04 23:31:14,620 [7.465848922729492] keyring.backend DEBUG: Loading file
+2025-09-04 23:31:14,620 [7.465848922729492] keyring.backend DEBUG: Loading keyczar
+2025-09-04 23:31:14,620 [7.465848922729492] keyring.backend DEBUG: Loading multi
+2025-09-04 23:31:14,629 [7.474311828613281] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-09-04 23:31:14,629 [7.474311828613281] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-04 23:31:14,629 [7.474311828613281] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:15,355 [8.200041770935059] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:15,355 [8.200041770935059] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:15,355 [8.200041770935059] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-04 23:31:15,355 [8.200041770935059] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-04 23:31:15,531 [8.376277208328247] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-04 23:31:15,556 [8.401177167892456] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:15,762 [8.607041597366333] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-04 23:31:15,783 [8.628755569458008] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-09-04 23:31:15,785 [8.630765199661255] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-09-04 23:31:15,785 [8.630765199661255] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-04 23:31:15,785 [8.630765199661255] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:16,216 [9.061643362045288] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:16,216 [9.061643362045288] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:16,269 [9.114124774932861] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-04 23:31:16,271 [9.116130590438843] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-04 23:31:16,351 [9.196480751037598] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=4460935c-7494-4cf3-8c1f-8ee369d1b012&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:16,361 [9.206466913223267] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:16,361 [9.206466913223267] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:16,461 [9.306407451629639] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=4460935c-7494-4cf3-8c1f-8ee369d1b012&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:16,562 [9.407888889312744] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:16,562 [9.407888889312744] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:16,691 [9.536325693130493] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-04 23:31:16,691 [9.536325693130493] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-09-04 23:31:16,691 [9.536325693130493] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-04 23:31:16,696 [9.540977239608765] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:16,771 [9.616365432739258] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:17,277 [10.122061014175415] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-04 23:31:17,277 [10.122061014175415] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-04 23:31:17,467 [10.31246018409729] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:17,467 [10.31246018409729] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:17,609 [10.454347848892212] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=4460935c-7494-4cf3-8c1f-8ee369d1b012&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:17,609 [10.454347848892212] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:17,609 [10.454347848892212] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:17,646 [10.491846084594727] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-04 23:31:17,646 [10.491846084594727] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-09-04 23:31:17,646 [10.491846084594727] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:17,736 [10.58119535446167] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=4460935c-7494-4cf3-8c1f-8ee369d1b012&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:17,767 [10.61217713356018] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:17,780 [10.625770568847656] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:17,780 [10.625770568847656] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:18,010 [10.85575795173645] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:18,738 [11.583367586135864] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:18,738 [11.583367586135864] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:18,905 [11.750042200088501] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:18,905 [11.750042200088501] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:18,905 [11.750042200088501] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:19,014 [11.859906673431396] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:19,014 [11.859906673431396] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:19,039 [11.88430666923523] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:19,241 [12.086414813995361] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:19,241 [12.086414813995361] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:19,359 [12.204113960266113] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:20,047 [12.892736196517944] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:20,047 [12.892736196517944] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:20,214 [13.059479713439941] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:20,214 [13.059479713439941] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:20,214 [13.059479713439941] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:20,247 [13.092114686965942] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:20,247 [13.092114686965942] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:20,349 [13.19420576095581] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:20,459 [13.304607152938843] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:21,356 [14.201863050460815] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:21,356 [14.201863050460815] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:21,464 [14.309625625610352] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:21,464 [14.309625625610352] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:21,509 [14.354506731033325] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:21,509 [14.354506731033325] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:21,509 [14.354506731033325] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:21,619 [14.464292287826538] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:21,649 [14.494303941726685] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:22,621 [15.466187477111816] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:22,621 [15.466187477111816] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:22,653 [15.498661279678345] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:22,653 [15.498661279678345] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:22,773 [15.618092060089111] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:22,773 [15.618092060089111] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:22,773 [15.618092060089111] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:22,788 [15.633008480072021] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-09-04 23:31:22,788 [15.633008480072021] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-04 23:31:22,789 [15.634521007537842] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:22,859 [15.70439624786377] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:22,909 [15.754120111465454] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:23,339 [16.184117555618286] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-04 23:31:23,339 [16.184117555618286] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-04 23:31:23,860 [16.70570945739746] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:23,860 [16.70570945739746] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:23,909 [16.754942893981934] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:23,909 [16.754942893981934] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:23,919 [16.7645902633667] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-04 23:31:23,931 [16.776607036590576] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:23,933 [16.7780601978302] urllib3.connectionpool DEBUG: Starting new HTTPS connection (2): share2.dexcom.com:443
+2025-09-04 23:31:24,037 [16.882486581802368] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:24,037 [16.882486581802368] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:24,037 [16.882486581802368] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:24,102 [16.946977138519287] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:24,150 [16.99530816078186] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:24,166 [17.01132369041443] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:24,374 [17.219340801239014] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:24,502 [17.347641229629517] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:25,113 [17.95890998840332] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:25,113 [17.95890998840332] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:25,169 [18.01401662826538] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:25,169 [18.01401662826538] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:25,289 [18.134591817855835] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-04 23:31:25,289 [18.134591817855835] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-04 23:31:25,289 [18.134591817855835] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-04 23:31:25,351 [18.196119785308838] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-04 23:31:25,400 [18.24566102027893] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=93762709-28e7-48c6-a7bf-b41ee8927023&minutes=1440&maxCount=1 HTTP/1.1" 200 None
