+2026-05-09 16:40:26,725 [0.006521701812744141] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-09 16:40:29,280 [2.5621278285980225] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2026-05-09 16:40:29,280 [2.5621278285980225] PIL.Image DEBUG: Importing MpegImagePlugin
+2026-05-09 16:40:29,281 [2.5630736351013184] PIL.Image DEBUG: Importing MpoImagePlugin
+2026-05-09 16:40:29,286 [2.5683674812316895] PIL.Image DEBUG: Importing MspImagePlugin
+2026-05-09 16:40:29,287 [2.5683674812316895] PIL.Image DEBUG: Importing PalmImagePlugin
+2026-05-09 16:40:29,288 [2.5693442821502686] PIL.Image DEBUG: Importing PcdImagePlugin
+2026-05-09 16:40:29,288 [2.5693442821502686] PIL.Image DEBUG: Importing PcxImagePlugin
+2026-05-09 16:40:29,288 [2.5693442821502686] PIL.Image DEBUG: Importing PdfImagePlugin
+2026-05-09 16:40:29,291 [2.572343587875366] PIL.Image DEBUG: Importing PixarImagePlugin
+2026-05-09 16:40:29,291 [2.572343587875366] PIL.Image DEBUG: Importing PngImagePlugin
+2026-05-09 16:40:29,292 [2.573371171951294] PIL.Image DEBUG: Importing PpmImagePlugin
+2026-05-09 16:40:29,292 [2.573371171951294] PIL.Image DEBUG: Importing PsdImagePlugin
+2026-05-09 16:40:29,292 [2.573371171951294] PIL.Image DEBUG: Importing QoiImagePlugin
+2026-05-09 16:40:29,292 [2.573371171951294] PIL.Image DEBUG: Importing SgiImagePlugin
+2026-05-09 16:40:29,293 [2.574359893798828] PIL.Image DEBUG: Importing SpiderImagePlugin
+2026-05-09 16:40:29,293 [2.574359893798828] PIL.Image DEBUG: Importing SunImagePlugin
+2026-05-09 16:40:29,293 [2.574359893798828] PIL.Image DEBUG: Importing TgaImagePlugin
+2026-05-09 16:40:29,294 [2.575371265411377] PIL.Image DEBUG: Importing TiffImagePlugin
+2026-05-09 16:40:29,294 [2.575371265411377] PIL.Image DEBUG: Importing WebPImagePlugin
+2026-05-09 16:40:29,294 [2.5759189128875732] PIL.Image DEBUG: Importing WmfImagePlugin
+2026-05-09 16:40:29,295 [2.576923131942749] PIL.Image DEBUG: Importing XbmImagePlugin
+2026-05-09 16:40:29,296 [2.577922821044922] PIL.Image DEBUG: Importing XpmImagePlugin
+2026-05-09 16:40:29,296 [2.577922821044922] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2026-05-09 16:40:29,512 [2.7934722900390625] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2026-05-09 16:40:32,833 [6.114445209503174] keyring.backend DEBUG: Loading KWallet
+2026-05-09 16:40:32,836 [6.117437839508057] keyring.backend DEBUG: Loading SecretService
+2026-05-09 16:40:32,838 [6.119445562362671] keyring.backend DEBUG: Loading Windows
+2026-05-09 16:40:32,854 [6.135437726974487] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2026-05-09 16:40:32,978 [6.26006293296814] keyring.backend DEBUG: Loading chainer
+2026-05-09 16:40:32,980 [6.262065887451172] keyring.backend DEBUG: Loading libsecret
+2026-05-09 16:40:32,982 [6.264064788818359] keyring.backend DEBUG: Loading macOS
+2026-05-09 16:40:32,988 [6.270066976547241] keyring.backend DEBUG: Loading Gnome
+2026-05-09 16:40:32,999 [6.280632495880127] keyring.backend DEBUG: Loading Google
+2026-05-09 16:40:33,003 [6.284632444381714] keyring.backend DEBUG: Loading Windows (alt)
+2026-05-09 16:40:33,007 [6.288630962371826] keyring.backend DEBUG: Loading file
+2026-05-09 16:40:33,011 [6.292632579803467] keyring.backend DEBUG: Loading keyczar
+2026-05-09 16:40:33,011 [6.292632579803467] keyring.backend DEBUG: Loading multi
+2026-05-09 16:40:33,029 [6.310640811920166] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:33,537 [6.818630695343018] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-09 16:40:33,541 [6.822627305984497] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:34,152 [7.433566331863403] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-09 16:40:34,517 [7.798645734786987] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-09 16:40:34,522 [7.8056464195251465] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:35,074 [8.355504274368286] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-09 16:40:35,077 [8.358527898788452] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:35,687 [8.969115018844604] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-09 16:40:35,691 [8.972881078720093] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2026-05-09 16:40:35,726 [9.007898330688477] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:35,912 [9.194133043289185] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:36,899 [10.181056499481201] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-09 16:40:36,929 [10.210796117782593] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:37,531 [10.812657833099365] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-09 16:40:37,534 [10.81565546989441] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:38,145 [11.426827907562256] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-09 16:40:38,184 [11.466055870056152] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2026-05-09 16:40:38,208 [11.48960828781128] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:38,760 [12.04232120513916] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-09 16:40:38,763 [12.044325351715088] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:39,196 [12.477243423461914] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:39,254 [12.535888433456421] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-09 16:40:39,298 [12.57936978340149] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:39,432 [12.713383197784424] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:39,497 [12.778781652450562] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:40,556 [13.837792873382568] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:40,816 [14.09761118888855] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:41,862 [15.14414358139038] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:42,086 [15.367842435836792] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:43,148 [16.42996048927307] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:43,360 [16.641709566116333] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:44,385 [17.668119430541992] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:44,638 [17.919829607009888] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:45,683 [18.964183807373047] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:45,940 [19.22231364250183] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:46,980 [20.261800050735474] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:47,208 [20.48954153060913] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:48,258 [21.539720058441162] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:48,571 [21.852239847183228] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:49,631 [22.913029670715332] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:49,880 [23.161452770233154] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:50,911 [24.19316029548645] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:51,457 [24.739030838012695] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-09 16:40:51,459 [24.74103021621704] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:52,073 [25.354402780532837] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-09 16:40:53,122 [26.403927326202393] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:53,349 [26.63032364845276] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:54,380 [27.662056922912598] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:54,611 [27.892930030822754] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:55,637 [28.918291807174683] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:55,898 [29.18015170097351] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:56,929 [30.210208892822266] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:57,193 [30.474241256713867] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:58,243 [31.524614810943604] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:58,473 [31.754741430282593] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:59,517 [32.79846429824829] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:59,524 [32.805458068847656] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:59,774 [33.055925607681274] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:40:59,824 [33.10584783554077] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2026-05-09 16:41:00,836 [34.1176495552063] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:01,071 [34.35294198989868] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:02,098 [35.381057024002075] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:02,313 [35.59496712684631] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:03,369 [36.65107488632202] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:03,636 [36.91780471801758] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:04,664 [37.94599628448486] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:04,899 [38.180609941482544] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:05,942 [39.22336745262146] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:06,194 [39.47566533088684] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:07,242 [40.52368903160095] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:07,508 [40.789700746536255] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:08,583 [41.864798069000244] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:08,840 [42.121821880340576] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:09,870 [43.15152883529663] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:10,075 [43.35670757293701] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:11,191 [44.472930669784546] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:11,394 [44.67570519447327] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:12,469 [45.75149321556091] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:12,721 [46.00297689437866] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:13,750 [47.032249212265015] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:13,977 [47.25905680656433] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:15,010 [48.291752576828] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:15,249 [48.530720472335815] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:16,283 [49.56467413902283] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:16,501 [49.782275676727295] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:17,554 [50.835946798324585] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:17,829 [51.11074900627136] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:18,904 [52.186030864715576] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:19,310 [52.59176230430603] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:20,363 [53.644760608673096] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:20,743 [54.0261116027832] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:21,797 [55.079105377197266] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:22,122 [55.404160499572754] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:23,262 [56.543498039245605] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:23,610 [56.89144539833069] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:24,711 [57.992881536483765] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:25,033 [58.31549429893494] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:26,144 [59.42563986778259] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:26,429 [59.711042642593384] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:27,572 [60.85378623008728] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:27,871 [61.15233659744263] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:29,004 [62.285871267318726] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:29,293 [62.574684858322144] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:29,829 [63.11076259613037] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:30,118 [63.39926719665527] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2026-05-09 16:41:30,427 [63.708874225616455] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:30,880 [64.16121459007263] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 200 None
+2026-05-09 16:41:31,930 [65.21187448501587] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:32,162 [65.44385027885437] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:33,208 [66.48960995674133] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:33,448 [66.72937607765198] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:34,480 [67.76209473609924] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:34,709 [67.99072456359863] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:35,748 [69.02999925613403] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:35,968 [69.24920845031738] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:37,013 [70.2949333190918] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:37,228 [70.50986909866333] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:38,307 [71.5885398387909] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:38,588 [71.87014365196228] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:39,622 [72.90336632728577] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:41:39,867 [73.14899921417236] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-09 16:41:40,914 [74.19578647613525] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
