+2025-10-29 16:25:41,527 [0.10568428039550781] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-29 16:25:51,975 [10.554101467132568] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:51,977 [10.556305408477783] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:52,526 [11.105301141738892] keyring.backend DEBUG: Loading KWallet
+2025-10-29 16:25:52,526 [11.105301141738892] keyring.backend DEBUG: Loading SecretService
+2025-10-29 16:25:52,555 [11.133540391921997] keyring.backend DEBUG: Loading Windows
+2025-10-29 16:25:52,846 [11.424354553222656] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2025-10-29 16:25:52,923 [11.501762390136719] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:53,233 [11.811789751052856] keyring.backend DEBUG: Loading chainer
+2025-10-29 16:25:53,243 [11.821651935577393] keyring.backend DEBUG: Loading libsecret
+2025-10-29 16:25:53,253 [11.831927299499512] keyring.backend DEBUG: Loading macOS
+2025-10-29 16:25:53,289 [11.86826753616333] keyring.backend DEBUG: Loading Gnome
+2025-10-29 16:25:53,347 [11.926162719726562] keyring.backend DEBUG: Loading Google
+2025-10-29 16:25:53,364 [11.942795991897583] keyring.backend DEBUG: Loading Windows (alt)
+2025-10-29 16:25:53,399 [11.977471113204956] keyring.backend DEBUG: Loading file
+2025-10-29 16:25:53,417 [11.995721578598022] keyring.backend DEBUG: Loading keyczar
+2025-10-29 16:25:53,417 [11.995721578598022] keyring.backend DEBUG: Loading multi
+2025-10-29 16:25:53,430 [12.009152889251709] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-10-29 16:25:53,430 [12.009152889251709] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-29 16:25:53,432 [12.011159896850586] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:53,925 [12.504291296005249] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:53,925 [12.504291296005249] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:53,925 [12.504291296005249] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-29 16:25:53,925 [12.504291296005249] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-29 16:25:54,447 [13.02557373046875] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-29 16:25:54,481 [13.059863090515137] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-10-29 16:25:54,763 [13.34134030342102] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:54,780 [13.358521461486816] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:54,780 [13.358521461486816] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:54,966 [13.5445077419281] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=a9fc97c5-5a9f-4344-8bc9-d9a95783bbba&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:54,983 [13.562255620956421] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:54,983 [13.562255620956421] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:55,099 [13.677530288696289] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=a9fc97c5-5a9f-4344-8bc9-d9a95783bbba&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:55,766 [14.344885349273682] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:55,766 [14.344885349273682] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:56,101 [14.680259227752686] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:56,101 [14.680259227752686] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:56,199 [14.77764368057251] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=a9fc97c5-5a9f-4344-8bc9-d9a95783bbba&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:56,199 [14.77764368057251] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:56,199 [14.77764368057251] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:56,222 [14.800352096557617] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-29 16:25:56,226 [14.804463863372803] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-10-29 16:25:56,226 [14.804811000823975] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-29 16:25:56,228 [14.806991577148438] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:56,254 [14.832576751708984] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:56,298 [14.877042293548584] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=a9fc97c5-5a9f-4344-8bc9-d9a95783bbba&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:56,810 [15.38857388496399] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-29 16:25:56,812 [15.39072036743164] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-29 16:25:57,249 [15.827352046966553] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-29 16:25:57,249 [15.827352046966553] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-10-29 16:25:57,255 [15.834177732467651] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:57,257 [15.83568549156189] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:57,303 [15.881855726242065] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:57,303 [15.881855726242065] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:57,431 [16.010257244110107] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:57,431 [16.010257244110107] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:57,431 [16.010257244110107] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:57,529 [16.107746601104736] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:57,587 [16.166068077087402] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:58,536 [17.114866256713867] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:58,536 [17.114866256713867] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:58,590 [17.169129133224487] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:58,590 [17.169129133224487] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:58,634 [17.213266611099243] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:58,634 [17.213266611099243] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:58,634 [17.213266611099243] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:58,748 [17.327295064926147] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:58,899 [17.477348566055298] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:58,906 [17.48533296585083] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:59,011 [17.589338302612305] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:59,011 [17.589338302612305] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:59,123 [17.701810836791992] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1140&maxCount=288 HTTP/1.1" 200 None
+2025-10-29 16:25:59,755 [18.333667755126953] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:59,755 [18.333667755126953] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:59,873 [18.451862812042236] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:25:59,873 [18.451862812042236] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:25:59,873 [18.451862812042236] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:25:59,912 [18.490495920181274] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:59,912 [18.490495920181274] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:59,979 [18.557497262954712] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:00,058 [18.63727593421936] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:26:00,546 [19.124459266662598] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-10-29 16:26:00,546 [19.124459266662598] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-29 16:26:00,546 [19.124459266662598] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:26:00,987 [19.566327571868896] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:00,987 [19.566327571868896] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:01,061 [19.639926195144653] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:26:01,061 [19.639926195144653] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:26:01,084 [19.663074016571045] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:01,085 [19.663976907730103] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:01,085 [19.663976907730103] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:01,194 [19.772937059402466] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:01,520 [20.099313020706177] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-29 16:26:01,520 [20.099313020706177] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-29 16:26:01,691 [20.27029800415039] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:26:02,012 [20.590657472610474] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-29 16:26:02,030 [20.60834813117981] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-10-29 16:26:02,030 [20.60834813117981] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-29 16:26:02,033 [20.61209750175476] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:26:02,196 [20.77507448196411] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:02,196 [20.77507448196411] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:02,445 [21.02339792251587] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:02,445 [21.02339792251587] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:02,445 [21.02339792251587] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:02,488 [21.066734790802002] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-29 16:26:02,488 [21.066734790802002] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-29 16:26:02,638 [21.21674871444702] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:02,694 [21.27265214920044] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:26:02,696 [21.27451205253601] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:26:03,058 [21.636674642562866] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-29 16:26:03,073 [21.663284063339233] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-10-29 16:26:03,086 [21.66434645652771] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-29 16:26:03,087 [21.665366888046265] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:26:03,573 [22.15158748626709] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:26:03,581 [22.15997338294983] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-29 16:26:03,581 [22.15997338294983] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-29 16:26:03,645 [22.223750591278076] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:03,645 [22.223750591278076] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:03,733 [22.31178903579712] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:03,733 [22.31178903579712] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-29 16:26:03,733 [22.31178903579712] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:03,845 [22.423855543136597] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:04,078 [22.656394004821777] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-29 16:26:04,084 [22.66289234161377] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-29 16:26:04,191 [22.76952624320984] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=6f9ffcb0-70a8-4cd6-b632-ea6955d350cb&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-29 16:26:04,576 [23.155106782913208] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
