+2025-10-06 20:50:24,967 [0.00402069091796875] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-06 20:50:27,203 [2.240954875946045] PIL.Image DEBUG: Importing TiffImagePlugin
+2025-10-06 20:50:27,203 [2.240954875946045] PIL.Image DEBUG: Importing WebPImagePlugin
+2025-10-06 20:50:27,204 [2.241464614868164] PIL.Image DEBUG: Importing WmfImagePlugin
+2025-10-06 20:50:27,206 [2.2429702281951904] PIL.Image DEBUG: Importing XbmImagePlugin
+2025-10-06 20:50:27,207 [2.243975877761841] PIL.Image DEBUG: Importing XpmImagePlugin
+2025-10-06 20:50:27,207 [2.243975877761841] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2025-10-06 20:50:27,345 [2.3820550441741943] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:28,346 [3.383586883544922] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:28,346 [3.383586883544922] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:28,536 [3.574998140335083] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:29,538 [4.575936555862427] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:29,538 [4.575936555862427] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:29,749 [4.786028623580933] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:30,750 [5.7875776290893555] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:30,750 [5.7875776290893555] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:30,953 [5.990864038467407] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:31,954 [6.991831064224243] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:31,955 [6.992838144302368] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:32,202 [7.239299774169922] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:32,347 [7.386143445968628] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-06 20:50:33,203 [8.240857124328613] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:33,204 [8.241865634918213] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:33,411 [8.448047399520874] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:33,911 [8.948133945465088] keyring.backend DEBUG: Loading KWallet
+2025-10-06 20:50:33,913 [8.950132846832275] keyring.backend DEBUG: Loading SecretService
+2025-10-06 20:50:33,914 [8.95163607597351] keyring.backend DEBUG: Loading Windows
+2025-10-06 20:50:33,923 [8.960802793502808] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2025-10-06 20:50:33,974 [9.011288404464722] keyring.backend DEBUG: Loading chainer
+2025-10-06 20:50:33,976 [9.013061761856079] keyring.backend DEBUG: Loading libsecret
+2025-10-06 20:50:33,978 [9.015068292617798] keyring.backend DEBUG: Loading macOS
+2025-10-06 20:50:33,980 [9.017837285995483] keyring.backend DEBUG: Loading Gnome
+2025-10-06 20:50:33,984 [9.021710872650146] keyring.backend DEBUG: Loading Google
+2025-10-06 20:50:33,987 [9.02450180053711] keyring.backend DEBUG: Loading Windows (alt)
+2025-10-06 20:50:33,990 [9.027124643325806] keyring.backend DEBUG: Loading file
+2025-10-06 20:50:33,992 [9.029202461242676] keyring.backend DEBUG: Loading keyczar
+2025-10-06 20:50:33,993 [9.030707120895386] keyring.backend DEBUG: Loading multi
+2025-10-06 20:50:33,996 [9.03388786315918] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-10-06 20:50:33,997 [9.03487515449524] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-06 20:50:33,997 [9.03487515449524] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:34,413 [9.450055837631226] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:34,413 [9.450055837631226] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:34,577 [9.614800214767456] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-06 20:50:34,577 [9.614800214767456] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-06 20:50:34,593 [9.630823850631714] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:35,027 [10.064918994903564] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-06 20:50:35,037 [10.07419729232788] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-10-06 20:50:35,039 [10.07672643661499] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:35,039 [10.07672643661499] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:35,153 [10.190658330917358] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:35,156 [10.193087100982666] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:35,157 [10.194093704223633] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:35,278 [10.315043926239014] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:35,595 [10.632582902908325] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:35,596 [10.633147478103638] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:35,887 [10.92472767829895] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:36,279 [11.316145658493042] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:36,279 [11.316145658493042] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:36,397 [11.434966087341309] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:36,397 [11.434966087341309] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:36,397 [11.434966087341309] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:36,522 [11.559609413146973] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:36,889 [11.926033020019531] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:36,889 [11.926033020019531] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:37,044 [12.081910848617554] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:37,092 [12.129635334014893] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:37,163 [12.200137615203857] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:37,164 [12.20113754272461] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:37,272 [12.309328079223633] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=5&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:37,523 [12.5608229637146] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:37,523 [12.5608229637146] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:37,632 [12.669454336166382] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:37,632 [12.669454336166382] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:37,632 [12.669454336166382] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:37,737 [12.774782657623291] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:38,095 [13.132015466690063] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:38,095 [13.132015466690063] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:38,287 [13.324235200881958] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:38,488 [13.525019884109497] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-06 20:50:38,738 [13.775793552398682] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:38,738 [13.775793552398682] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:38,854 [13.893368005752563] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:38,856 [13.893368005752563] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:38,856 [13.893368005752563] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:38,963 [14.000079154968262] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:39,289 [14.326009273529053] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:39,289 [14.326009273529053] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:39,487 [14.52444839477539] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:39,586 [14.623936176300049] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-10-06 20:50:39,587 [14.624945402145386] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-10-06 20:50:39,588 [14.625951528549194] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:39,963 [15.000777959823608] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:39,964 [15.001281499862671] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:40,029 [15.06679391860962] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-10-06 20:50:40,029 [15.06679391860962] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-10-06 20:50:40,086 [15.123455047607422] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:40,087 [15.124958992004395] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:40,087 [15.124958992004395] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:40,196 [15.23374056816101] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=e62aaf1f-d20c-4fba-b9be-c16b229e8043&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:40,462 [15.499744415283203] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-10-06 20:50:40,463 [15.500749349594116] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-10-06 20:50:40,488 [15.525750398635864] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:40,489 [15.526254653930664] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:40,703 [15.740875005722046] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:41,197 [16.234530210494995] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:41,197 [16.234530210494995] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:41,319 [16.356406450271606] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:41,319 [16.356406450271606] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:41,319 [16.356406450271606] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:41,436 [16.473494291305542] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:41,704 [16.74181866645813] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:41,704 [16.74181866645813] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:41,912 [16.949832916259766] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:42,309 [17.34677219390869] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:42,423 [17.460954904556274] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:42,438 [17.47527027130127] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:42,438 [17.47527027130127] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:42,542 [17.57935404777527] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:42,542 [17.57935404777527] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:42,542 [17.57935404777527] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:42,648 [17.685621976852417] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:42,913 [17.950901985168457] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:42,913 [17.950901985168457] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:43,128 [18.16589879989624] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:43,650 [18.686995029449463] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:43,650 [18.686995029449463] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:43,752 [18.789528608322144] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:43,752 [18.789528608322144] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:43,752 [18.789528608322144] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:43,860 [18.897286653518677] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:44,130 [19.167620182037354] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:44,130 [19.167620182037354] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:44,307 [19.34473729133606] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:44,861 [19.898065328598022] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:44,861 [19.898065328598022] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:44,971 [20.00891923904419] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:44,972 [20.009925603866577] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:44,972 [20.009925603866577] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-10-06 20:50:45,073 [20.11070728302002] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=44e04ff2-8dbc-4731-b619-98f41bf42804&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-10-06 20:50:45,309 [20.346593856811523] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:45,310 [20.347599267959595] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:45,522 [20.559353351593018] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-06 20:50:46,074 [21.11168074607849] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-10-06 20:50:46,074 [21.11168074607849] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
