+2025-09-07 17:46:09,131 [0.008580684661865234] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-07 17:46:19,152 [10.030224800109863] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:19,180 [10.05768346786499] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:19,180 [10.05768346786499] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:19,323 [10.200567960739136] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:19,326 [10.203456163406372] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:19,326 [10.203456163406372] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:19,456 [10.333434820175171] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:19,617 [10.495044946670532] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-07 17:46:19,627 [10.505276441574097] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:19,763 [10.640458345413208] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:20,154 [11.03191590309143] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:20,154 [11.03191590309143] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:20,448 [11.3262300491333] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:20,464 [11.34198522567749] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:20,464 [11.34198522567749] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:20,606 [11.484294414520264] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:20,606 [11.484294414520264] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:20,606 [11.484294414520264] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:20,749 [11.627079248428345] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:21,199 [12.077255725860596] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:21,352 [12.229466915130615] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:21,450 [12.328274726867676] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:21,450 [12.328274726867676] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:21,752 [12.629447937011719] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:21,752 [12.629447937011719] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:21,786 [12.663812398910522] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:21,886 [12.763773441314697] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:21,886 [12.763773441314697] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:21,886 [12.763773441314697] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:22,052 [12.930240631103516] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:22,445 [13.322441816329956] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-07 17:46:22,447 [13.324447870254517] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-09-07 17:46:22,447 [13.324447870254517] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-07 17:46:22,447 [13.324447870254517] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:22,798 [13.675640344619751] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:22,798 [13.675640344619751] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:22,980 [13.85780143737793] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-07 17:46:22,980 [13.85780143737793] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-07 17:46:23,055 [13.93278980255127] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:23,055 [13.93278980255127] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:23,067 [13.944506883621216] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:23,193 [14.0712149143219] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:23,193 [14.0712149143219] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:23,193 [14.0712149143219] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:23,385 [14.262588024139404] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=73c6de80-b2d7-4d69-bed3-45082b80c3dc&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:23,463 [14.34046459197998] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-07 17:46:23,463 [14.34046459197998] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-09-07 17:46:24,071 [14.94833493232727] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:24,071 [14.948722839355469] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:24,370 [15.247882604598999] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:24,390 [15.267847537994385] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:24,390 [15.267847537994385] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:24,522 [15.399338960647583] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:24,522 [15.399338960647583] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:24,522 [15.399338960647583] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:24,689 [15.566978931427002] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:24,767 [15.645173072814941] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-09-07 17:46:24,768 [15.646124601364136] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-07 17:46:24,768 [15.646124601364136] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:25,383 [16.26064658164978] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:25,383 [16.26064658164978] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:25,389 [16.266313314437866] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-07 17:46:25,389 [16.266313314437866] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-07 17:46:25,626 [16.503665447235107] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:25,693 [16.570441484451294] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:25,693 [16.570441484451294] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:25,823 [16.700595140457153] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:25,823 [16.700595140457153] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:25,823 [16.700595140457153] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:25,895 [16.773147106170654] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-07 17:46:25,910 [16.78775668144226] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:25,911 [16.789156436920166] urllib3.connectionpool DEBUG: Starting new HTTPS connection (2): share2.dexcom.com:443
+2025-09-07 17:46:25,958 [16.83540678024292] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:26,202 [17.07947278022766] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:26,360 [17.238080739974976] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:26,522 [17.3993239402771] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:26,632 [17.509920120239258] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:26,632 [17.509920120239258] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:26,930 [17.80812120437622] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:26,967 [17.844464540481567] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:26,967 [17.844464540481567] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:27,102 [17.979631900787354] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:27,102 [17.979631900787354] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:27,102 [17.979631900787354] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:27,242 [18.11955213546753] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:27,935 [18.812342405319214] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:27,935 [18.812342405319214] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:28,171 [19.049190998077393] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:28,247 [19.124409198760986] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:28,247 [19.124409198760986] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:28,369 [19.24688720703125] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
+2025-09-07 17:46:28,369 [19.24688720703125] notifier INFO: Requesting url https://share2.dexcom.com/ShareWebServices/Services
+2025-09-07 17:46:28,369 [19.24688720703125] pydexcom DEBUG: Retrieve glucose readings from the glucose readings endpoint
+2025-09-07 17:46:28,551 [19.428714513778687] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues?sessionId=db75fa9f-47b5-4f15-b62a-9eabd11c2782&minutes=1440&maxCount=1 HTTP/1.1" 200 None
